date,key,begin_read,end_read,pages_total
2021-01-01,Proctor2008,8,36,
2021-01-01,Roach2008,216,226,
2021-01-02,SullivanXXXX,11,72,
2021-01-02,Roach2008,227,244,
2021-01-03,SullivanXXXX,73,97,97
2021-01-03,Proctor2008,37,54,
2021-01-03,Roach2008,245,262,
2021-01-04,Proctor2008,55,89,
2021-01-04,Roach2008,263,278,
2021-01-05,Roach2008,279,287,
2021-01-07,Roach2008,297,306,306
2021-01-09,FrenchXXXX,151,161,
2021-01-09,FrenchXXXX,161,171,
2021-01-10,FrenchXXXX,171,177,
2021-01-11,FrenchXXXX,177,184,
2021-01-12,FrenchXXXX,185,197,
2021-01-13,HackerXXXX,128,149,
2021-01-13,FrenchXXXX,197,205,
2021-01-14,FrenchXXXX,205,218,
2021-01-13,HackerXXXX,149,180,
2021-01-15,FrenchXXXX,218,232,
2021-01-16,HackerXXXX,180,217,217
2021-01-16,FrenchXXXX,233,244,
2021-01-17,FrenchXXXX,244,269,269
2021-01-18,Gallagher2016,1,11,
2021-01-19,Gallagher2016,11,18,
2021-01-20,Gallagher2016,18,28,
2021-01-22,Gallagher2016,29,40,
2021-01-23,Gallagher2016,40,48,
2021-01-24,Gallagher2016,48,56,
2021-01-25,Gallagher2016,57,67,
2021-01-26,Gallagher2016,67,78,
2021-01-27,Gallagher2016,79,90,
2021-01-29,Gallagher2016,91,99,
2021-01-30,Proctor2008,90,111,
2021-01-30,Gallagher2016,99,104,
2021-01-31,Gallagher2016,105,119,
2021-02-01,Gallagher2016,119,128,
2021-02-02,Gallagher2016,128,134,
2021-02-03,Gallagher2016,134,146,
2021-02-04,Gallagher2016,146,150,
2021-02-05,Gallagher2016,151,158,
2021-02-06,Gallagher2016,159,161,
2021-02-07,Gallagher2016,161,180,
2021-02-09,Gallagher2016,181,187,
2021-02-11,Gallagher2016,187,192,
2021-02-12,Gallagher2016,192,197,
2021-02-13,Gallagher2016,197,200,
2021-02-14,Guillén2020,37,51,
2021-02-14,Gallagher2016,201,216,
2021-02-15,Guillén2020,51,96,
2021-02-15,Gallagher2016,217,223,
2021-02-16,Gallagher2016,223,228,
2021-02-17,Hickman2019,1,12,12
2021-02-17,Guillén2020,97,123,
2021-02-17,Gallagher2016,229,238,
2021-02-18,King2019,1,12,12
2021-02-18,Guillén2020,124,149,
2021-02-18,Gallagher2016,239,254,
2021-02-19,Gallagher2016,255,274,
2021-02-20,Gallagher2016,275,290,290
2021-02-20,Brubaker2020,1,13,
2021-02-20,Guillén2020,150,242,242
2021-02-20,Proctor2008,111,162,
2021-02-20,Woodard2010,92,100,
2021-02-20,Hall2020,1,24,
2021-02-21,Woodard2010,101,114,
2021-02-21,Hall2020,25,41,
2021-02-22,Hall2020,42,60,
2021-02-23,Hall2020,61,90,
2021-02-24,Hall2020,91,107,
2021-02-25,Nightwing2011omnibus,1,3,
2021-02-25,Woodard2010,115,126,
2021-02-25,Hall2020,108,118,
2021-02-26,Nightwing2011omnibus,4,7,
2021-02-26,FalconWinterSoldier2020TPB,1,5,5
2021-02-26,Hall2020,119,127,
2021-02-27,Nightwing2011omnibus,8,15,
2021-02-27,Hall2020,128,158,
2021-02-28,Woodard2010,127,140,
2021-02-28,Hall2020,158,167,
2021-03-01,Hall2020,168,178,
2021-03-02,Nightwing2011omnibus,16,23,
2021-03-02,Hall2020,179,202,
2021-03-03,Nightwing2011omnibus,24,28,
2021-03-03,Hall2020,203,216,
2021-03-04,Nightwing2011omnibus,29,37,37
2021-03-04,Woodard2010,141,149,
2021-03-04,Hall2020,217,248,
2021-03-05,Proctor2008,163,182,
2021-03-05,Woodard2010,150,156,
2021-03-05,Hall2020,249,283,
2021-03-06,Woodard2010,157,170,
2021-03-06,Hall2020,284,298,
2021-03-07,GraysonTPBv1,1,2,
2021-03-07,Woodard2010,171,188,
2021-03-07,Hall2020,299,323,
2021-03-08,Proctor2008,183,218,
2021-03-08,Hall2020,324,348,
2021-03-09,GraysonTPBv1,3,6,6
2021-03-09,Proctor2008,218,229,
2021-03-09,Woodard2010,189,199,
2021-03-09,Hall2020,348,386,
2021-03-10,Woodard2010,200,215,
2021-03-10,Hall2020,387,425,425
2021-03-11,Proctor2008,250,282,282
2021-03-11,Riel2017,124,219,219
2021-03-11,Birth1999,-5,4,
2021-03-11,Robinson2017,79,82,
2021-03-12,Robinson2017,83,92,
2021-03-13,Birth1999,4,14,
2021-03-13,Robinson2017,92,99,
2021-03-14,GraysonTPBv2,1,5,5
2021-03-14,Robinson2017,99,107,
2021-03-15,Robinson2017,107,116,
2021-03-16,Birth1999,14,30,
2021-03-16,Robinson2017,117,123,
2021-03-17,Birth1999,30,42,
2021-03-17,GraysonTPBv3,1,6,6
2021-03-17,Robinson2017,123,137,
2021-03-18,Robinson2017,138,154,
2021-03-19,Birth1999,42,47,
2021-03-19,Robinson2017,155,165,
2021-03-20,Robinson2017,166,177,
2021-03-21,Robinson2017,177,185,
2021-03-22,Robinson2017,186,203,
2021-03-23,Birth1999,47,65,
2021-03-23,Robinson2017,204,210,
2021-03-24,Robinson2017,211,220,
2021-03-25,Robinson2017,221,224,
2021-03-26,IlchmanXXXX,-7,9,
2021-03-26,Robinson2017,224,227,
2021-03-27,Robinson2017,227,237,
2021-03-28,Robinson2017,238,249,
2021-03-29,Robinson2017,250,265,
2021-03-30,Robinson2017,266,270,
2021-03-31,Robinson2017,270,279,
2021-04-01,Robinson2017,279,283,
2021-04-02,Robinson2017,283,289,
2021-04-03,Robinson2017,290,298,
2021-04-04,Robinson2017,299,311,
2021-04-05,Robinson2017,312,317,
2021-04-07,Robinson2017,318,329,
2021-04-09,Gaseau2004,1,112,112
2021-04-09,Robinson2017,330,340,
2021-04-10,Robinson2017,341,350,
2021-04-11,Robinson2017,351,353,
2021-04-12,Robinson2017,353,358,
2021-04-13,Robinson2017,358,370,
2021-04-14,Robinson2017,370,383,
2021-04-15,Robinson2017,384,396,
2021-04-16,Robinson2017,397,409,
2021-04-17,Robinson2017,410,419,
2021-04-18,Robinson2017,419,429,
2021-04-19,Robinson2017,430,438,
2021-04-20,Robinson2017,439,442,
2021-04-21,Robinson2017,443,452,
2021-04-22,Robinson2017,453,460,
2021-04-23,Robinson2017,460,467,
2021-04-24,Robinson2017,467,474,
2021-04-25,Robinson2017,474,479,
2021-04-27,Robinson2017,479,487,
2021-04-28,Robinson2017,488,498,
2021-04-29,Robinson2017,499,508,
2021-04-30,GraysonTPBv4,1,5,5
2021-04-30,Robinson2017,509,520,
2021-05-01,Robinson2017,521,536,
2021-05-02,GraysonTPBv5,1,6,6
2021-05-02,Pomerantsev2014,51,78,
2021-05-02,Robinson2017,537,542,
2021-05-03,Robinson2017,543,551,
2021-05-04,Pomerantsev2014,79,104,
2021-05-04,IlchmanXXXX,13,24,
