date,key,begin_read,end_read,pages_total
2019-01-12,PartonXXXX,1,18,
2019-01-13,PartonXXXX,19,32,
2019-01-14,GaudianiXXXX,9,36,
2019-01-15,GaudianiXXXX,36,41,
2019-01-16,GaudianiXXXX,41,66,
2019-01-23,PartonXXXX,33,46,
2019-01-24,PartonXXXX,47,54,
2019-01-26,PartonXXXX,54,68,
2019-01-28,PartonXXXX,69,72,
2019-02-03,PartonXXXX,72,80,
2019-02-04,PartonXXXX,81,86,
2019-02-06,PartonXXXX,86,98,
2019-02-09,PartonXXXX,98,106,
2019-02-11,PartonXXXX,106,116,
2019-02-12,PartonXXXX,116,127,
2019-02-24,PartonXXXX,127,132,
2019-02-27,PartonXXXX,133,150,
2019-03-04,PartonXXXX,150,160,
2019-03-06,PartonXXXX,161,169,
2019-03-10,Kahn1978,1,8,
2019-03-10,Shapiro1999,1,18,
2019-03-11,KinzerXXXX,271,285,
2019-03-13,PartonXXXX,169,176,
2019-03-14,PartonXXXX,177,186,
2019-03-15,PartonXXXX,186,191,
2019-03-17,McNamee2019,1,60,
2019-03-17,PartonXXXX,191,199,
2019-03-18,PartonXXXX,200,209,
2019-03-19,PartonXXXX,209,223,
2019-03-20,PartonXXXX,224,241,
2019-03-22,PartonXXXX,241,254,
2019-03-23,PartonXXXX,254,270,
2019-03-24,PartonXXXX,270,275,
2019-03-25,PartonXXXX,275,288,
2019-03-28,Shapiro1999,19,31,
2019-04-03,PartonXXXX,288,297,
2019-04-04,PartonXXXX,297,302,
2019-04-05,PartonXXXX,302,308,
2019-04-07,McNamee2019,60,93,
2019-04-09,PartonXXXX,309,338,338
2019-04-11,Shapiro1999,31,43,
2019-04-12,KinzerXXXX,285,293,
2019-04-15,KinzerXXXX,293,299,
2019-04-20,W-WellsXXXX,1,36,
2019-04-20,W-WellsXXXX,37,42,
2019-04-22,W-WellsXXXX,42,46,
2019-04-27,W-WellsXXXX,46,55,
2019-04-30,Roth2015,1,41,
2019-04-30,KinzerXXXX,300,305,
2019-05-01,W-WellsXXXX,55,108,
2019-05-03,W-WellsXXXX,109,170,
2019-05-03,Levine2012,1,61,
2019-05-04,Levine2012,62,273,273
2019-05-04,KinzerXXXX,305,322,322
2019-05-05,Roach2008,46,53,
2019-05-11,Roach2008,53,73,
2019-05-12,TalebXXXX,-33,37,
