date,key,begin_read,end_read,pages_total
2017-01-04,Prost2010,78,87,
2017-01-23,Silberman2015,82,106,
2017-02-20,Bell2014a,3674,4195,
2017-03-03,Prost2010,85,92,
2017-03-16,Bell2014a,4196,4716,
2017-03-17,Bell2014a,4716,5197,
2017-03-18,Bell2014a,5197,6108,6108
2017-04-02,Prost2010,92,108,
2017-04-09,Prost2010,103,108,
2017-04-10,Prost2010,108,114,
2017-05-19,Wiener1961,1,12,
2017-05-20,Wiener1961,12,21,
2017-05-22,Wiener1961,21,29,
2017-05-26,Roach2004,58,74,
2017-05-28,Roach2004,74,96,
2017-05-29,Roach2004,96,121,
2017-05-30,Roach2004,121,131,
2017-06-01,Roach2004,131,148,
2017-06-09,Roach2004,148,170,
2017-06-11,Roach2004,170,221,
2017-06-12,Roach2004,221,270,
2017-06-14,Roach2004,270,304,304
2017-06-15,Hadfield2015,1,23,
2017-06-16,Hadfield2015,23,34,
2017-06-21,Hadfield2015,34,38,
2017-06-25,Levenson2016,1,10,
2017-07-05,Hadfield2015,38,61,
2017-07-07,Hadfield2015,62,86,
2017-07-08,Hadfield2015,86,116,
2017-07-14,Hadfield2015,117,138,
2017-07-15,Hadfield2015,139,155,
2017-07-24,Phills2005,1,21,
2017-08-07,Phills2005,20,32,
2017-08-07,Haddon2004,1,32,
2017-08-08,Haddon2004,32,51,
2017-08-09,Haddon2004,52,88,
2017-08-14,Haddon2004,88,100,
2017-08-20,Haddon2004,100,156,
2017-08-20,SpirouFantasio52,,,
2017-08-20,SpirouFantasio53,,,
2017-08-21,SpirouFantasio54,,,
2017-08-21,SpirouFantasio55,,,
2017-08-22,Scrameustache23,,,
2017-08-25,Haddon2004,156,191,
2017-08-25,Haddon2004,191,226,226
2017-08-27,Surget2007,1,30,
2017-08-28,Surget2007,30,74,
2017-08-29,Surget2007,74,153,153
2017-08-31,Requero1999,1,32,
2017-09-02,Requero1999,32,73,
2017-09-04,Marsupilami21,,,
2017-09-04,Requero1999,73,120,
2017-09-07,Requero1999,121,191,
2017-09-08,Requero1999,192,218,218
2017-09-10,Joubert1993,1,30,
2017-09-11,Joubert1993,31,58,
2017-09-13,Joubert1993,58,74,
2017-09-16,Brisefer14,,,
2017-09-22,SpirouFantasio46,,,
2017-09-23,Phills2005,32,50,
2017-09-23,Schovanec2013,1,40,
2017-09-24,Parris2015,1,12,
2017-09-25,Parris2015,12,32,
2017-09-26,Parris2015,32,63,
2017-09-27,Parris2015,64,87,
2017-09-28,Parris2015,87,159,159
2017-09-30,Joubert1993,75,97,
2017-10-01,Joubert1993,98,107,
2017-10-02,Halprin1970,0,2,
2017-10-03,Halprin1970,2,9,
2017-10-06,Schovanec2013,40,48,
2017-10-07,Halprin1970,10,23,
2017-10-09,Joubert1987,108,140,
2017-10-10,Halprin1970,24,53,
2017-10-12,Reinsborough2017,-3,4,
2017-10-13,Reinsborough2017,5,12,
2017-10-15,Joubert1987,141,176,
2017-10-16,Joubert1987,176,200,
2017-10-17,Joubert1987,200,207,207
2017-10-18,Reinsborough2017,12,23,
2017-10-19,Reinsborough2017,23,26,
2017-10-21,Nelson2015,1,11,
2017-10-23,Reinsborough2017,26,42,
2017-10-26,Reinsborough2017,42,46,
2017-10-27,Eoyang2013,1,33,
2017-10-27,Adichie2015,1,52,52
2017-10-27,Mastromonaco2017,1,38,
2017-10-28,Halprin1970,54,92,
2017-10-28,Mastromonaco2017,39,69,
2017-10-29,Mastromonaco2017,70,108,
2017-10-30,Mastromonaco2017,108,137,
2017-10-31,Reinsborough2017,46,56,
2017-11-03,Reinsborough2017,56,79,
2017-11-03,Mastromonaco2017,138,185,
2017-11-04,Reinsborough2017,79,84,
2017-11-04,Mastromonaco2017,185,245,245
2017-11-04,Marshall2016,1,25,
2017-11-05,Marshall2016,26,39,
2017-11-07,Marshall2016,40,67,
2017-11-08,Marshall2016,68,91,
2017-11-10,Marshall2016,92,115,
2017-11-11,Marshall2016,116,153,
2017-11-12,Marshall2016,154,277,277
2017-11-13,Kolbert2014,1,46,
2017-11-13,Hadfield2015,155,172,
2017-11-15,Kolbert2014,47,54,
2017-11-16,Hadfield2015,172,185,
2017-11-17,Hadfield2015,185,192,
2017-11-19,Kolbert2014,54,69,
2017-11-20,Kolbert2014,70,92,
2017-11-20,Hadfield2015,192,207,
2017-11-21,Hadfield2015,207,214,
2017-11-22,Hadfield2015,214,259,
2017-11-23,Kolbert2014,92,124,
2017-11-23,Hadfield2015,259,284,284
2017-11-24,Kolbert2014,125,147,
2017-11-26,Kolbert2014,148,162,
2017-11-27,Kolbert2014,162,201,
2017-11-28,Kolbert2014,201,216,
2017-11-29,Kolbert2014,217,235,
2017-12-03,Kolbert2014,236,276,276
2017-12-03,McCrea2013,1,42,
2017-12-04,McCrea2013,43,66,
2017-12-05,Miles2003,-25,0,
2017-12-05,Kotter2012,-5,4,
2017-12-06,Kotter2012,4,79,
2017-12-06,Albertalli2015,1,395,
2017-12-08,Albertalli2015,395,727,
2017-12-09,Albertalli2015,727,1228,
2017-12-11,McCrea2013,67,122,
2017-12-11,Albertalli2015,1228,1553,
2017-12-12,McCrea2013,123,192,
2017-12-12,Albertalli2015,1553,2074,
2017-12-13,Albertalli2015,2074,2846,
2017-12-16,McCrea2013,193,278,278
2017-12-17,Brest2008,-4,20,
2017-12-17,Bugg-Levine2011,-19,29,
2017-12-17,Albertalli2015,2846,3325,
2017-12-21,Albertalli2015,3325,3934,
2017-12-22,Bugg-Levine2011,30,84,
2017-12-22,Albertalli2015,3934,4035,
2017-12-23,Bugg-Levine2011,85,127,
2017-12-24,Bugg-Levine2011,127,140,
2017-12-25,Bugg-Levine2011,140,235,
2017-12-26,Bugg-Levine2011,235,268,268
2017-12-26,Madsbjerg2014,1,48,
2017-12-27,Madsbjerg2014,49,106,
2017-12-28,Madsbjerg2014,107,185,185
2017-12-28,Bernstein1998,1,22,
