date,key,begin_read,end_read,pages_total
2026-01-03,Ellenberg2022,1,32,
2026-01-04,Ellenberg2022,32,52,
2026-01-05,Ellenberg2022,52,73,
2026-01-06,Ibarra2023,1,31,
2026-01-07,Ibarra2023,31,44,
2026-01-08,Ibarra2023,45,71,
2026-01-08,Reid2018,1,25
2026-01-09,Dicks2018,1,21,
2026-01-09,Reid2018,25,51,
2026-01-10,Ibarra2023,71,138,
2026-01-10,Graeber2019,1,35,
2026-01-10,Reid2018,51,88,
2026-01-11,Ibarra2023,138,183
2026-01-12,Reid2018,88,110,
2026-01-16,Reid2018,110,129,
2026-01-17,Reid2018,129,143,
2026-01-18,Reid2018,143,157,
2026-01-19,Reid2018,157,190,
2026-01-24,Reid2018,190,194,
2026-01-25,Reid2018,194,215,
2026-01-30,Ibarra2023,183,197,
2026-02-05,Reid2018,215,222,
2026-02-22,Ibarra2023,197,223,
2026-02-22,Reid2018,222,244,
