date,key,begin_read,end_read,pages_total
2018-01-03,Pratchett1983,1,240,
2018-01-05,Pratchett1983,240,490,
2018-01-06,Pratchett1983,490,643,
2018-01-07,Pratchett1983,643,876,
2018-01-08,Weber2012,1,17,
2018-01-10,Bernstein1998,60,82,
2018-01-10,Weber2012,18,40,
2018-01-14,Weber2012,41,58,
2018-01-15,Bernstein1998,82,96,
2018-01-15,Weber2012,59,81,
2018-01-19,Bernstein1998,97,109,
2018-01-23,Bernstein1998,109,115,
2018-01-24,Bernstein1998,116,121,
2018-01-27,Bernstein1998,122,128,
2018-01-28,Bernstein1998,128,144,
2018-01-31,Bernstein1998,144,151,
2018-02-04,Bernstein1998,152,171,
2018-02-05,Bernstein1998,172,186,
2018-02-10,Bernstein1998,187,193,
2018-02-19,Bernstein1998,194,214,
2018-02-20,Bernstein1998,215,219,
2018-02-24,Bernstein1998,219,220,
2018-03-19,Bernstein1998,220,243,
2018-03-26,Roach2010,1,132,
2018-05-30,Roach2010,132,148,
2018-05-31,Roach2010,149,164,
2018-06-01,Roach2010,164,171,
2018-06-03,Roach2010,172,183,
2018-06-06,Roach2010,183,198,
2018-06-06,Roach2010,198,217,
2018-06-10,Roach2010,217,228,
2018-06-16,Roach2010,229,246,
2018-06-17,Roach2010,247,264,
2018-06-18,Roach2010,265,277,
2018-06-24,Roach2010,277,300,
2018-07-12,Roach2010,300,324,324
2018-07-13,KinzerXXXX,1,14,
2018-07-15,KinzerXXXX,15,30,
2018-07-16,KinzerXXXX,31,39,
2018-07-18,Bernstein1998,247,263,
2018-07-19,KinzerXXXX,40,44,
2018-07-20,KinzerXXXX,44,51,
2018-07-21,KinzerXXXX,51,58,
2018-07-22,KinzerXXXX,58,70,
2018-07-23,KinzerXXXX,70,94,
2018-07-25,KinzerXXXX,94,103,
2018-07-29,Thaler2015,1,5,
2018-07-30,Thaler2015,5,13,
2018-07-31,Thaler2015,13,38,
2018-08-01,Thaler2015,38,44,
2018-08-02,Thaler2015,44,89,
