date,key,begin_read,end_read,pages_total
2025-01-01,Harrison2024,67,68,
2025-01-02,Harrison2024,68,73,
2025-01-07,Harrison2024,73,85,
2025-01-08,Harrison2024,85,124,
2025-01-09,Harrison2024,125,168,
2025-01-11,Harrison2024,169,182,
2025-01-12,Harrison2024,183,185,
2025-01-14,Harrison2024,185,201,
2025-01-15,Harrison2024,201,226,
2025-01-16,Harrison2024,227,246,
2025-01-17,Harrison2024,247,264,
2025-01-19,Harrison2024,265,284,
2025-01-21,Harrison2024,285,290,
2025-01-25,Harrison2024,290,300,
2025-01-28,Harrison2024,300,326,
2025-01-29,Harrison2024,327,350,
2025-01-30,Harrison2024,351,382,
2025-01-31,Harrison2024,383,410,410
2025-02-01,Schrefer2021,1,4,
2025-02-02,Schrefer2021,4,8,
2025-02-04,Schrefer2021,8,16,
2025-02-05,Schrefer2021,16,29,
2025-02-06,Schrefer2021,30,36,
2025-02-07,Schrefer2021,36,49,
2025-02-08,Schrefer2021,50,60,
2025-02-09,Schrefer2021,60,62,
2025-02-11,Schrefer2021,62,65,
2025-02-12,Schrefer2021,66,84,
2025-02-13,Schrefer2021,84,96,
2025-02-14,Schrefer2021,96,106,
2025-02-15,Schrefer2021,106,120,
2025-02-16,Schrefer2021,120,125,
2025-02-18,Schrefer2021,125,138,
2025-02-20,Schrefer2021,138,142,
2025-02-21,Schrefer2021,142,164,
2025-02-22,Schrefer2021,164,188,
2025-02-23,Bernhardt2020,-5,6,
2025-02-24,Bernhardt2020,7,12,
2025-02-27,Schrefer2021,188,196,
2025-02-28,Schrefer2021,196,226,
2025-03-01,Schrefer2021,227,238,
2025-03-02,Schrefer2021,238,257,
2025-03-03,Schrefer2021,257,289,
2025-03-04,Schrefer2021,289,328,
2025-03-05,Schrefer2021,328,367,
2025-03-06,Schrefer2021,367,378,
2025-03-07,Schrefer2021,378,397,397
2025-03-08,Brown2010,1,34,
2025-03-08,Bernhardt2020,12,16,
2025-03-09,Brown2010,34,42,
2025-03-09,Bernhardt2020,17,22,
2025-03-10,Brown2010,42,80,
2025-03-10,Bernhardt2020,22,41,
2025-03-11,Brown2010,80,104,
2025-03-11,Bernhardt2020,41,50,
2025-03-12,Brown2010,104,133,
2025-03-12,Bernhardt2020,50,56,
2025-03-13,Brown2010,133,164,
2025-03-13,Bernhardt2020,57,66,
2025-03-14,Brown2010,164,218,218
2025-03-14,McGonigal2011,240,261,
2025-03-14,Bernhardt2020,67,77,
2025-03-15,McGonigal2011,261,287,
2025-03-15,Bernhardt2020,78,84,
2025-03-16,McGonigal2011,287,306,
2025-03-16,Bernhardt2020,84,89,
2025-03-17,Bernhardt2020,90,94,
2025-03-18,McGonigal2011,306,354,354
2025-03-18,Bernhardt2020,94,101,
2025-03-20,Stanley2020,-25,4,
2025-03-20,Bernhardt2020,101,107,
2025-03-21,Stanley2020,4,12,
2025-03-21,Bernhardt2020,107,114,
2025-03-22,Bernhardt2020,114,120,
2025-03-23,Bernhardt2020,120,122,
2025-03-24,Bernhardt2020,122,126,
2025-03-25,Bernhardt2020,127,130,
2025-03-27,Bernhardt2020,130,132,
2025-03-28,Bernhardt2020,132,136,
2025-03-29,Bernhardt2020,136,143,
2025-03-30,Bernhardt2020,143,147,
2025-03-31,Bernhardt2020,147,154,
2025-04-01,Bernhardt2020,154,160,
2025-04-02,Shekerjian1990,-21,-7,
2025-04-03,Bernhardt2020,160,165,
2025-04-04,Bernhardt2020,165,168,
2025-04-05,Bernhardt2020,168,174,
2025-04-06,Bernhardt2020,174,178,
2025-04-07,Bernhardt2020,178,185,
2025-04-08,Bernhardt2020,185,189,189
2025-04-09,Campbell2008,-3,4,
2025-04-10,Campbell2008,4,6,
2025-04-11,Campbell2008,6,10,
2025-04-13,Calvez2016,-11,5,
2025-04-13,Campbell2008,10,12,
2025-04-14,Calvez2016,5,23,
2025-04-14,Campbell2008,12,31,
2025-04-15,Campbell2008,32,34,
2025-04-16,Calvez2016,24,81,
2025-04-16,Campbell2008,34,46,
2025-04-18,Campbell2008,46,48,
2025-04-21,Calvez2016,81,99,
2025-04-22,Calvez2016,100,139,
2025-04-22,Moss2023,1,8,
2025-04-23,Calvez2016,140,206,206
2025-04-23,Moss2023,8,80,
2025-04-24,Moss2023,80,86,
2025-04-25,Moss2023,86,194,194
2025-04-25,Ackerman2024,-9,4,
2025-04-26,Ackerman2024,4,12,
2025-04-27,Ackerman2024,13,16,
2025-04-28,Ackerman2024,16,68,
2025-04-29,Ackerman2024,68,70,
2025-04-30,Ackerman2024,70,78,
2025-05-01,Ackerman2024,79,84,
2025-05-02,Ackerman2024,84,91,
2025-05-03,Ackerman2024,91,98,
2025-05-04,Ackerman2024,98,105,
2025-05-05,Ackerman2024,105,112,
2025-05-06,Ackerman2024,113,116,
2025-05-07,Ackerman2024,116,123,
2025-05-08,Ackerman2024,123,127,
2025-05-09,Ackerman2024,127,132,
2025-05-11,Ackerman2024,132,136,
2025-05-12,Ackerman2024,136,146,
2025-05-14,Ackerman2024,146,155,
2025-05-15,Ackerman2024,155,250,
2025-05-16,Ackerman2024,250,257,
2025-05-18,Ackerman2024,257,299,299
2025-05-18,Toms2014,-5,42,
2025-05-23,Toms2014,42,44,
2025-05-24,Toms2014,44,50,
2025-05-25,LuPone2010,1,6,
2025-05-26,LuPone2010,6,14,
2025-05-28,LuPone2010,14,16,
2025-05-29,Chenoweth2010,1,6,
