date,key,begin_read,end_read,pages_total
2020-01-01,Jemisin2017,132,134,
2020-01-02,Jemisin2017,134,142,
2020-01-04,Jemisin2017,143,173,
2020-01-05,Jemisin2017,174,190,
2020-01-06,Jemisin2017,191,201,
2020-01-07,Jemisin2017,202,216,
2020-01-08,Jemisin2017,217,249,
2020-01-09,Jemisin2017,250,264,
2020-01-10,Jemisin2017,265,288,
2020-01-11,Jemisin2017,288,296,
2020-01-12,Jemisin2017,296,323,
2020-01-16,Jemisin2017,323,343,
2020-01-19,Jemisin2017,343,363,
2020-01-20,Jemisin2017,363,398,398
2020-01-21,Verne1994,29,39,
2020-01-23,Verne1994,40,48,
2020-01-25,Verne1994,49,66,
2020-01-26,Verne1994,67,84,
2020-02-01,Verne1994,85,99,
2020-02-02,Verne1994,99,112,
2020-02-05,Verne1994,113,126,
2020-02-07,Verne1994,127,138,
2020-02-08,Verne1994,139,154,
2020-02-09,Powers2018,1,17,
2020-02-12,Powers2018,17,23,
2020-02-09,WEF2020,1,20,
2020-02-13,Powers2018,24,28,
2020-02-15,Powers2018,28,35,
2020-02-16,Powers2018,35,46,
2020-02-17,Powers2018,47,63,
2020-02-23,Powers2018,64,78,
2020-02-25,Powers2018,78,84,
2020-03-01,Powers2018,84,92,
2020-03-03,Powers2018,92,97,
2020-03-06,KlareXXXX,1,31,
2020-03-09,KlareXXXX,31,61,
2020-03-13,KlareXXXX,62,75,
2020-03-14,Darst2008,1,19,
2020-03-14,Bogle2010,-23,2,
2020-03-24,Tetlock2015,1,6,
2020-03-25,Tetlock2015,6,30,
2020-03-26,Tetlock2015,30,45,
2020-03-28,Tetlock2015,46,80,
2020-03-29,Tetlock2015,81,104,
2020-04-02,Riel2017,-9,16,
2020-04-03,Goldsmith2016,1,28,
2020-04-03,Tetlock2015,105,152,
2020-04-04,Tetlock2015,153,230,
2020-04-05,Tetlock2015,231,246,
2020-04-06,Tetlock2015,246,289,289
2020-04-06,GrahamXXXX,-5,46,
2020-04-07,GrahamXXXX,47,87,
2020-04-08,HomerDixon2006,1,16,
2020-04-09,GrahamXXXX,88,197,
2020-04-10,GrahamXXXX,197,309,
2020-04-13,Hartung2011,1,30,
2020-04-13,Bueno2010,-13,0,
2020-04-13,Perkins2006,-15,2,
2020-04-13,Klein2007,1,13,
2020-04-14,Bueno2010,0,28,
2020-04-14,GrahamXXXX,310,329,
2020-04-15,Bueno2010,29,46,
2020-04-15,Hartung2011,31,50,
2020-04-16,Hartung2011,51,68,
2020-04-16,GrahamXXXX,330,346,
2020-04-16,KlareXXXX,75,119,
2020-04-17,Bueno2010,47,65,
2020-04-17,KlareXXXX,120,173,
2020-04-17,Klein2007,13,28,
2020-04-17,Hartung2011,69,81,
2020-04-18,KlareXXXX,174,217,
2020-04-19,KlareXXXX,217,237,237
2020-04-21,Hartung2011,81,94,
2020-04-23,Hartung2011,95,119,
2020-04-24,Hartung2011,119,222,
2020-04-25,Hartung2011,222,252,252
2020-04-25,Kahane2012,-7,42,
2020-04-25,Saadia2016,-5,28,
2020-04-26,Bueno2010,66,85,
2020-04-27,Bueno2010,86,102,
2020-04-28,Bueno2010,103,170,
2020-04-29,Bueno2010,171,181,
2020-04-30,Bueno2010,181,247,247
2020-05-01,Burgis2015,1,28,
2020-05-01,Saadia2016,28,40,
2020-05-04,Goodell2017,5,30,
2020-05-05,Goodell2017,31,73,
2020-05-06,Goodell2017,74,115,
2020-05-07,Goodell2017,116,189,
2020-05-08,Goodell2017,190,251,
2020-05-09,Goodell2017,251,302,302
2020-05-11,Raworth2017,1,26,
2020-05-12,Packer2013,1,17,
2020-05-12,Perkins2006,3,27,
2020-05-13,Perkins2006,28,47,
2020-05-16,Perkins2006,48,65,0
2020-05-16,Hunt2018,1,30,
2020-05-18,Burgis2015,28,40,
2020-05-18,Hunt2018,31,46,
2020-05-19,Burgis2015,40,45,
2020-05-19,Hunt2018,46,61,
2020-05-20,Hunt2018,62,78,
2020-05-21,Hunt2018,78,91,
2020-05-22,Hunt2018,92,105,
2020-05-23,Hunt2018,105,112,
2020-05-24,Hunt2018,112,128,
2020-05-25,Hunt2018,128,155,
2020-05-26,Hunt2018,155,157,
2020-05-27,Hunt2018,157,173,
2020-05-28,Hunt2018,174,188,
2020-05-29,Hunt2018,188,197,
2020-05-30,Hunt2018,197,203,
2020-05-31,Hunt2018,204,211,
2020-06-01,Hunt2018,211,221,
2020-06-02,Hunt2018,221,227,
2020-06-08,Hunt2018,227,240,
2020-06-10,Hunt2018,240,254,
2020-06-11,Hunt2018,254,272,272
2020-06-14,Powers2018,96,111,
2020-06-15,Burgis2015,45,60,
2020-06-18,Powers2018,112,119,
2020-06-24,Powers2018,119,124,
2020-06-25,Powers2018,124,144,
2020-06-26,Powers2018,145,152,
2020-06-29,Powers2018,153,161,
2020-07-01,Powers2018,161,165,
2020-07-02,Powers2018,165,179,
2020-07-03,Powers2018,179,191,
2020-07-04,Powers2018,191,203,
2020-07-05,Powers2018,204,217,
2020-07-06,Powers2018,217,230,
2020-07-07,Powers2018,230,252,
2020-07-08,Powers2018,253,269,
2020-07-09,Powers2018,269,285,
2020-07-10,Powers2018,286,312,
2020-07-11,Powers2018,312,333,
2020-07-12,Powers2018,333,343,
2020-07-13,Powers2018,343,356,
2020-07-14,Powers2018,357,369,
2020-07-15,Powers2018,370,374,
2020-07-16,Powers2018,374,379,
2020-07-18,Powers2018,379,387,
2020-07-19,Powers2018,388,395,
2020-07-20,Powers2018,395,405,
2020-07-21,Powers2018,405,417,
2020-07-22,Powers2018,417,425,
2020-07-24,Powers2018,426,438,
2020-08-13,Woodard2010,1,64,
2020-08-17,Powers2018,438,448,
2020-08-20,Powers2018,448,460,
2020-08-23,Powers2018,460,467,
2020-08-24,Powers2018,467,476,
2020-08-26,Powers2018,477,482,
2020-08-27,Powers2018,483,491,
2020-08-28,Powers2018,491,494,
2020-08-29,Powers2018,494,502,502
2020-09-06,Woodard2010,65,72,
2020-09-08,Woodard2010,73,81,
2020-09-09,Woodard2010,82,91,
2020-09-18,Robinson2017,1,8,
2020-09-21,Robinson2017,9,16,
2020-09-25,Robinson2017,16,26,
2020-09-27,Robinson2017,27,36,
2020-09-28,Robinson2017,37,54,
2020-09-29,Robinson2017,55,72,
2020-09-30,Robinson2017,73,78,
2020-10-10,Stengel2019,-5,14,
2020-10-11,Stengel2019,15,31,
2020-10-12,Stengel2019,31,132,
2020-10-15,Stengel2019,132,161,
2020-10-16,Stengel2019,161,251,
2020-10-17,Stengel2019,252,318,318
2020-10-17,Jankovicz2020,-17,9,
2020-10-18,Jankovicz2020,9,42,
2020-10-19,Jankovicz2020,43,86,
2020-10-20,Jankovicz2020,87,122,
2020-10-20,Brown1996,-5,5,
2020-10-22,Jankovicz2020,123,154,
2020-10-23,Jankovicz2020,155,169,
2020-10-24,Jankovicz2020,169,230,230
2020-10-27,Brown1996,5,15,
2020-10-28,Brown1996,15,25,
2020-10-29,Brown1996,26,27,
2020-10-30,Brown1996,27,43,
2020-10-31,Hacker2020,1,9,
2020-11-01,Hacker2020,9,20,
2020-11-03,McQuiston2019,1,14,
2020-11-04,McQuiston2019,14,29,
2020-11-05,McQuiston2019,30,43,
2020-11-06,Hacker2020,20,41,
2020-11-06,McQuiston2019,43,61,
2020-11-07,McQuiston2019,61,95,
2020-11-08,McQuiston2019,95,114,
2020-11-09,McQuiston2019,114,127,
2020-11-10,McQuiston2019,128,139,
2020-11-11,McQuiston2019,139,146,
2020-11-12,Hacker2020,40,61,
2020-11-12,McQuiston2019,147,173,
2020-11-13,McQuiston2019,173,189,
2020-11-14,Kidwell2019,11,40,
2020-11-14,Strevens2020,1,19,
2020-11-14,McQuiston2019,189,206,
2020-11-15,McQuiston2019,206,211,
2020-11-15,Strevens2020,19,40,
2020-11-16,Strevens2020,41,65,
2020-11-16,McQuiston2019,221,230,
2020-11-17,Strevens2020,66,104,
2020-11-17,McQuiston2019,230,251,
2020-11-18,Strevens2020,105,135,
2020-11-19,Strevens2020,135,151,
2020-11-19,McQuiston2019,252,265,
2020-11-20,Strevens2020,152,192,
2020-11-20,McQuiston2019,266,276,
2020-11-21,Strevens2020,192,294,294
2020-11-21,Riel2017,17,40,
2020-11-21,McQuiston2019,276,284,
2020-11-22,McQuiston2019,284,295,
2020-11-23,Riel2017,41,74,
2020-11-23,McQuiston2019,296,313,
2020-11-24,Riel2017,75,124,
2020-11-24,Pomerantsev2014,1,35,
2020-11-24,McQuiston2019,313,339,
2020-11-25,McQuiston2019,340,362,
2020-11-26,Pomerantsev2014,35,51,
2020-11-26,McQuiston2019,362,385,
2020-11-27,McQuiston2019,386,421,421
2020-11-28,Houghton2019,1,45,
2020-11-29,Rid2020,1,32,
2020-11-29,Houghton2019,46,57,
2020-11-30,Rid2020,33,73,
2020-11-30,Houghton2019,58,70,
2020-12-01,Rid2020,74,108,
2020-12-01,Houghton2019,71,84,
2020-12-02,Guillén2020,1,37,
2020-12-02,Rid2020,108,122,
2020-12-03,Rid2020,123,154,
2020-12-03,Houghton2019,84,94,
2020-12-04,French2015,1,41,
2020-12-04,Houghton2019,95,99,
2020-12-05,Houghton2019,99,108,
2020-12-06,Houghton2019,109,119,
2020-12-07,Houghton2019,120,137,
2020-12-08,Houghton2019,137,148,
2020-12-09,Houghton2019,149,158,
2020-12-10,Houghton2019,159,172,
2020-12-11,Reagle2020,1,11,
2020-12-11,Houghton2019,173,185,
2020-12-12,Houghton2019,186,201,
2020-12-13,Houghton2019,202,214,
2020-12-14,Houghton2019,202,226,
2020-12-15,Hacker2020,61,75,
2020-12-15,Houghton2019,227,239,
2020-12-16,Hacker2020,90,108,
2020-12-16,Houghton2019,240,256,
2020-12-17,Hacker2020,109,117,
2020-12-17,Houghton2019,256,264,
2020-12-18,Hacker2020,117,128,
2020-12-18,Houghton2019,265,280,280
2020-12-19,Postman2005,-13,15,
2020-12-19,Roach2008,73,86,
2020-12-20,Postman2005,16,29,
2020-12-20,Proctor2008,-3,8,
2020-12-20,Roach2008,87,97,
2020-12-21,Josselin2017,1,48,48
2020-12-21,Roach2008,98,110,
2020-12-22,Josselin2018,1,34,
2020-12-22,Roach2008,111,123,
2020-12-23,Josselin2018,34,46,46
2020-12-23,Postman2005,30,43,
2020-12-23,Rid2020,155,193,
2020-12-23,Roach2008,124,144,
2020-12-24,Rid2020,194,214,
2020-12-24,French2015,42,62,
2020-12-24,Roach2008,144,156,
2020-12-25,French2015,62,88,
2020-12-25,Rid2020,215,242,
2020-12-25,Roach2008,157,176,
2020-12-26,Rid2020,243,254,
2020-12-26,Roach2008,177,183,
2020-12-27,Postman2005,44,63,
2020-12-27,Rid2020,255,277,
2020-12-27,Roach2008,183,204,
2020-12-28,Rid2020,278,311,
2020-12-28,French2015,89,117,
2020-12-29,Rid2020,312,350,
2020-12-29,Postman2005,64,113,
2020-12-29,French2015,118,141,
2020-12-30,Rid2020,351,435,435
2020-12-30,French2015,142,151,
2020-12-31,Postman2005,114,163,163
