date,key,begin_read,end_read,pages_total
2024-01-01,Weir2011,317,335,
2024-01-02,Weir2011,335,369,369
2024-01-03,Braun1991,1,10,
2024-01-04,Braun1991,10,22,
2024-01-05,Braun1991,22,32,
2024-01-06,Braun1991,32,52,
2024-01-07,Braun1991,52,57,
2024-01-08,Braun1991,58,62,
2024-01-09,Braun1991,62,83,
2024-01-10,Braun1991,83,96,
2024-01-11,Braun1991,96,113,
2024-01-12,Braun1991,114,122,
2024-01-13,Braun1991,122,136,
2024-01-14,Braun1991,136,148,
2024-01-15,Braun1991,148,160,
2024-01-16,Braun1991,161,190,
2024-01-17,Braun1991,190,232,
2024-01-18,Braun1991,232,256,
2024-01-19,Braun1991,256,275,
2024-01-19,Ralph2022,7,30,
2024-01-20,Ralph2022,31,38,
2024-01-21,Ralph2022,38,75,
2024-01-23,Ralph2022,76,106,
2024-01-24,Ralph2022,107,137,
2024-01-25,Ralph2022,138,179,
2024-01-26,Ralph2022,180,227,
2024-01-27,Ralph2022,228,272,272
2024-01-28,Robinson1993,1,9,
2024-01-29,Robinson1993,9,10,
2024-01-29,SaintExupery1943,1,38,
2024-01-30,SaintExupery1943,38,64,
2024-01-31,SaintExupery1943,65,78,
2024-02-02,Christian2020,200,230,
2024-02-03,Christian2020,230,237,
2023-02-03,Wardell2023,205,210,
2023-02-04,Wardell2023,210,217,
2024-02-10,Christian2020,237,268,
2024-02-11,Christian2020,268,302,
2024-02-11,SaintExupery1943,78,97,97
2024-02-13,Johnson2018,1,10,
2024-02-16,Dehaene2014,1,25,
2024-02-17,Dehaene2014,25,52,
2024-02-17,SaintExupery1943it,13,22,
2024-02-18,Dehaene2014,52,60,
2024-02-20,SaintExupery1943it,23,31,
2024-02-21,Dehaene2014,60,64,
2024-02-21,SaintExupery1943it,32,39,
2024-02-22,SaintExupery1943it,39,47,
2024-02-23,Dehaene2014,64,70,
2024-02-25,Johnson2018,11,17,
2024-02-26,Dehaene2014,70,76,
2024-02-26,Johnson2018,17,24,
2024-02-27,Dehaene2014,76,79,
2024-02-28,Dehaene2014,79,100,
2024-02-29,Dehaene2014,100,146,
2024-03-01,Dehaene2014,146,178,
2024-03-04,Dehaene2014,178,180,
2024-03-09,Dehaene2014,180,186,
2024-03-10,Johnson2018,24,28,
2024-03-14,Johnson2018,28,37,
2024-03-15,Johnson2018,38,54,
2024-03-16,Johnson2018,55,59,
2024-03-17,Johnson2018,59,67,
2024-03-19,Johnson2018,67,79,
2024-03-20,Johnson2018,79,90,
2024-03-21,Johnson2018,90,107,
2024-03-22,Johnson2018,107,136,
2024-03-23,Johnson2018,137,170,
2024-03-24,Johnson2018,170,183,
2024-03-25,Johnson2018,183,197,
2024-03-26,Johnson2018,198,241,
2024-03-27,Johnson2018,241,254,254
2024-03-27,Roach2013,255,278,
2024-03-28,Roach2013,278,290,
2024-03-30,Roach2013,290,301,
2024-03-31,Roach2013,301,327,327
2024-04-02,Kurkjian2015,-15,-12,
2024-04-03,Kurkjian2015,-12,7,
2024-04-04,Kurkjian2015,7,31,
2024-04-05,Kurkjian2015,31,39,
2024-04-06,Kurkjian2015,39,57,
2024-04-07,Christian2020,302,306,
2024-04-08,Christian2020,306,329,329
2024-04-08,Kurkjian2015,57,70,
2024-04-09,Kurkjian2015,70,85,
2024-04-10,Kurkjian2015,85,112,
2024-04-11,Kurkjian2015,112,138,
2024-04-12,Kurkjian2015,138,152,
2024-04-13,Kurkjian2015,152,164,
2024-04-14,Kurkjian2015,164,186,
2024-04-15,Kurkjian2015,186,194,
2024-04-16,Price2022,9,36,
2024-04-16,Miller2020,1,20,
2024-04-17,Miller2020,20,69,
2024-04-18,Miller2020,69,91,
2024-04-19,Miller2020,91,99,
2024-04-20,Miller2020,100,105,
2024-04-22,Miller2020,105,120,
2024-04-23,Miller2020,120,144,
2024-04-24,Miller2020,144,175,
2024-04-25,Miller2020,175,199,199
2024-04-25,Price2022,36,74,
2024-05-05,Kurkjian2015,195,199,
2024-05-06,Kurkjian2015,199,212,
2024-05-08,Kurkjian2015,213,222,222
2024-05-09,Krepinevich2015,-13,-6,
2024-05-12,Krepinevich2015,-6,3,
2024-05-13,Standage2005,1,17,
2024-05-15,Standage2005,17,30,
2024-05-19,Standage2005,30,31,
2024-05-20,Standage2005,32,47,
2024-05-21,Scanlon1998,1,8,
2024-05-21,Price2022,74,96,
2024-05-22,Standage2005,47,57,
2024-05-23,Standage2005,57,62,
2024-05-24,Standage2005,62,68,
2024-05-25,Eliade1969,11,34,
2024-05-25,Price2022,96,138,
2024-05-25,Standage2005,69,72,
2024-05-26,Toffler1970,288,314,
2024-05-26,Price2022,139,170,
2024-05-26,Standage2005,72,74,
2024-05-30,Standage2005,74,84,
2024-06-01,Dehaene2014,186,266,266
2024-06-02,Toffler1970,314,397,
2024-06-02,Price2022,170,262,262
2024-06-02,Standage2005,84,90,
2024-06-03,Standage2005,91,101,
2024-06-05,Standage2005,101,105,
2024-06-06,Standage2005,105,111,
2024-06-12,Standage2005,112,121,
2024-06-13,DeBarra2023,1,44,
2024-06-14,Standage2005,121,127,
2024-06-15,DeBarra2023,45,94,
2024-06-16,Standage2005,127,134,
2024-06-17,Standage2005,134,141,
2024-06-19,McGonigal2011,1,40,
2024-06-20,Standage2005,141,146,
2024-06-21,Standage2005,146,162,
2024-06-22,Standage2005,162,177,
2024-06-23,Standage2005,177,192,
2024-06-24,Standage2005,192,206,
2024-06-25,McGonigal2011,40,124,
2024-06-26,Standage2005,206,217,
2024-06-28,McGonigal2011,124,200,
2024-06-29,Standage2005,217,225,
2024-06-30,Standage2005,225,230,
2024-07-02,Albertalli2018,1,30,
2024-07-03,Albertalli2018,31,49,
2024-07-04,Albertalli2018,50,72,
2024-07-05,Albertalli2018,73,90,
2024-07-07,McGonigal2011,200,240,
